OBJECTID,STCNTYFIPS,RROWNER1,YARDNAME,RROWNER1_NAME,Shape__Length
1,26115,AA,MILAN (AA),ANN ARBOR RAILROAD,3873.06503874574
2,39095,AA,OTTAWA,ANN ARBOR RAILROAD,6300.91487298195
3,39095,AA,OTTAWA SOUTH,ANN ARBOR RAILROAD,3982.1827624405
4,01125,ABS,TUSCALOOSA,ALABAMA SOUTHERN RAILROAD,4004.42173600518
5,01073,ABWR,BIRMINGHAM (ABWR),"ALABAMA WARRIOR RAILWAY, LLC",318.675127642468
6,37037,ACWR,GULF,"ABERDEEN, CAROLINA & WESTERN RAILROAD",1714.98190146211
7,26091,ADBF,GLOBAL ETHANOL,ADRIAN & BLISSFIELD RAILROAD,2602.69497803143
8,41043,AERC,ALBANY YARD,ALBANY & EASTERN RAILROAD COMPANY,2165.89326427341
9,41043,AERC,WELDWOOD YARD,ALBANY & EASTERN RAILROAD COMPANY,3852.142257384
10,01091,AGR,MAGNOLIA,ALABAMA & GULF COAST RAILWAY LLC,1736.54722353681
11,01097,AGR,MOBILE (AGR),ALABAMA & GULF COAST RAILWAY LLC,3344.79701242025
12,12033,AGR,PENSACOLA,ALABAMA & GULF COAST RAILWAY LLC,1313.4460717267
13,05107,AKMD,HELENA,"ARKANSAS MIDLAND RAILROAD COMPANY, INC.",1404.94877374885
14,05059,AKMD,MALVERN,"ARKANSAS MIDLAND RAILROAD COMPANY, INC.",2143.66793964558
15,05041,AKMD,MCGEHEE (AKMD),"ARKANSAS MIDLAND RAILROAD COMPANY, INC.",4169.83342964559
16,01053,ALAB,FLOMATON,ALABAMA RAILROAD,9490.45560647834
17,01097,ALE,MOBILE (CN),ALABAMA EXPORT RAILROAD,9680.78441110713
18,05003,ALM,CROSSETT,ARKANSAS LOUISIANA & MISSISSIPPI RAILROAD COMPANY,6248.25066129257
19,05039,ALM,FORDYCE,ARKANSAS LOUISIANA & MISSISSIPPI RAILROAD COMPANY,5557.77908519294
20,22073,ALM,MONROE STATION,ARKANSAS LOUISIANA & MISSISSIPPI RAILROAD COMPANY,381.729663619823
21,17163,ALS,ALTON & SOUTHERN,ALTON & SOUTHERN RAILWAY,14545.1947700315
22,17163,ALS,EAST ST LOUIS AUTORAMP,ALTON & SOUTHERN RAILWAY,4693.42271963656
23,17163,ALS,GATEWAY,ALTON & SOUTHERN RAILWAY,39497.078001494
24,17119,ALS,MITCHELL,ALTON & SOUTHERN RAILWAY,6378.60134163532
25,05131,AM,FT SMITH (AM),ARKANSAS & MISSOURI RAILROAD COMPANY,3493.44034829946
26,17031,AMTK,14TH ST,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),7174.14471679607
27,36083,AMTK,ALBANY AMTRAK SHOPS,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),6645.89453852523
28,24005,AMTK,BAYVIEW (NS),AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),2544.74569733511
29,24510,AMTK,BAYVIEW (NS),AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),2047.33457738268
30,10003,AMTK,BEAR SHOPS,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),7772.5859497073
31,26077,AMTK,BOTSFORD,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),1519.44597201575
32,34017,AMTK,HARRISON,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),6178.93997657216
33,09003,AMTK,HARTFORD,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),3318.74331872794
34,26025,AMTK,HINMAN,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),2993.24466167535
35,26075,AMTK,JACKSON,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),6108.71903502272
36,34039,AMTK,LINDEN,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),4569.40265439351
37,36005,AMTK,MOTT HAVEN,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),596.867250236955
38,34023,AMTK,NEW BRUNSWICK M/W,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),12876.4758591653
39,36005,AMTK,OAK POINT,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),1294.37554380147
40,44007,AMTK,PROVIDENCE,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),4248.39050500028
41,24003,AMTK,SULLIVAN MAINTENANCE,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),3258.92003814601
42,44007,AMTK,WARWICK,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),878.544326640486
43,36001,AMTK,WEST ALBANY,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),7417.21328223775
44,26161,AMTK,WILLOW RUN,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),3483.40176716532
45,26163,AMTK,WILLOW RUN,AMTRAK (NATIONAL RAILROAD PASSENGER CORPORATION),223.286785212521
46,12039,AN,CHATTAHOOCHEE (AN),AN RAILWAY LLC,1420.93728603366
47,12045,AN,PORT ST JOE,AN RAILWAY LLC,4007.90705857373
48,54101,AO,COWEN,APPALACHIAN & OHIO RAILROAD,3699.91136346244
49,54101,AO,EVERGREEN,APPALACHIAN & OHIO RAILROAD,4580.18264926586
50,42007,AOR,ALIQUIPPA,ALIQUIPPA & OHIO RIVER RAILROAD COMPANY,6936.39301993611
51,42007,AOR,BLACKS RUN,ALIQUIPPA & OHIO RIVER RAILROAD COMPANY,1490.29121811604
52,36001,APD,KENWOOD,ALBANY PORT DISTRICT RAILROAD,684.148075440493
53,36001,APD,PORT OF ALBANY,ALBANY PORT DISTRICT RAILROAD,9445.73837735858
54,02020,ARR,ANCHORAGE,ALASKA RAILROAD CORPORATION,28149.0141363671
55,02020,ARR,BIRCHWOOD,ALASKA RAILROAD CORPORATION,12973.3033327663
56,02090,ARR,FAIRBANKS,ALASKA RAILROAD CORPORATION,12680.7604336598
57,02068,ARR,HEALY,ALASKA RAILROAD CORPORATION,12400.127855984
58,02290,ARR,NENANA,ALASKA RAILROAD CORPORATION,4104.74306829084
59,02020,ARR,PORTAGE,ALASKA RAILROAD CORPORATION,8844.36678904912
60,02122,ARR,SEWARD,ALASKA RAILROAD CORPORATION,9141.59972811229
61,02261,ARR,WHITTIER,ALASKA RAILROAD CORPORATION,8594.50793024632
62,04012,ARZC,PARKER YARD,ARIZONA & CALIFORNIA RAILROAD COMPANY,1577.00638820521
63,40011,ATLT,WATONGA,"AUSTIN, TODD & LADD RAILROAD COMPANY",797.915806730055
64,01055,ATN,ALABAMA CITY,ALABAMA & TENNESSEE RIVER RAILWAY LLC,7041.27410194757
65,42003,AVR,GLENWOOD,ALLEGHENY VALLEY RAILROAD COMPANY,20731.6666256901
66,42003,AVR,KENNEY,ALLEGHENY VALLEY RAILROAD COMPANY,136.223897358621
67,42003,AVR,SHARPSBURG (AVR),ALLEGHENY VALLEY RAILROAD COMPANY,3226.75660841045
68,42003,AVR,VERONA,ALLEGHENY VALLEY RAILROAD COMPANY,2072.81300140265
69,13051,AWRY,GARDEN CITY #1,"ADAMS-WARNOCK RAILWAY, INC.",2553.85631597285
70,04007,AZER,LOWER MIAMI YARD,ARIZONA EASTERN RAILROAD,2273.93868355552
71,30023,BAP,ANACONDA,"BUTTE, ANACONDA & PACIFIC RAILROAD COMPANY",913.497307020598
72,30023,BAP,EAST ANACONDA,"BUTTE, ANACONDA & PACIFIC RAILROAD COMPANY",3664.65221097991
73,12005,BAYL,PANAMA CITY,"BAY LINE RAILROAD, LLC",1562.1980218973
74,12005,BAYL,SHERMAN,"BAY LINE RAILROAD, LLC",3484.91900603039
75,51810,BB,BCR,BUCKINGHAM BRANCH RAILROAD COMPANY,1505.27657027214
76,51540,BB,EAST CHARLOTTESVILLE,BUCKINGHAM BRANCH RAILROAD COMPANY,5788.50893319576
77,25021,BCLR,CLIQUOT,BAY COLONY RAILROAD,548.203186651582
78,51131,BCR,CAPE CHARLES,BAY COAST RAILROAD,3800.62059861522
79,34041,BDRV,PHILLIPSBURG,BELVEDERE & DELAWARE RIVER RWY,2386.77733989969
80,16069,BGCM,FOREBAY,BG & CM RAILROAD,13892.9889354554
81,16069,BGCM,LEWISTON,BG & CM RAILROAD,13891.5758117925
82,36103,BHR,BROOKHAVEN RAIL TERMINAL,"BROOKHAVEN RAIL, LLC",5783.93699000579
83,01073,BHRR,ELLIOT,BIRMINGHAM TERMINAL RAILWAY LLC,635.186474736202
84,01073,BHRR,ENSLEY,BIRMINGHAM TERMINAL RAILWAY LLC,6224.3021637447
85,01073,BHRR,EXUM,BIRMINGHAM TERMINAL RAILWAY LLC,4812.73519459084
86,01073,BHRR,FLINTRIDGE,BIRMINGHAM TERMINAL RAILWAY LLC,3379.5324152098
87,39167,BIP,BELPRE,BELPRE INDUSTRIAL PARKERSBURG RAILROAD,6102.23367713837
88,54107,BIP,PARKERSBURG HIGH,BELPRE INDUSTRIAL PARKERSBURG RAILROAD,4196.03076756654
89,06073,BJRR,YSIDRO YARD,BAJA CALIFORNIA RAILROAD INC.,718.67436584266
90,29189,BJRY,DAIMLER,BURLINGTON JUNCTION RAILWAY,7807.35572740082
91,19179,BJRY,OTTUMWA (BJRY),BURLINGTON JUNCTION RAILWAY,1611.6845459215
92,17031,BNSF,14TH ST COACH,BNSF RAILWAY COMPANY,4724.98427853317
93,55031,BNSF,17TH ST YARD,BNSF RAILWAY COMPANY,13550.3812894448
94,19193,BNSF,18TH STREET,BNSF RAILWAY COMPANY,10909.60718086
95,29095,BNSF,19TH STREET,BNSF RAILWAY COMPANY,5734.24150879413
96,06073,BNSF,22ND STREET YARD,BNSF RAILWAY COMPANY,12249.3011552089
97,55031,BNSF,28TH ST YARD,BNSF RAILWAY COMPANY,17884.4189047642
98,08031,BNSF,31ST STREET,BNSF RAILWAY COMPANY,9118.82969569478
99,31055,BNSF,8TH STREET YARD,BNSF RAILWAY COMPANY,9433.23160472928
100,48439,BNSF,9TH ST YARD (BNSF),BNSF RAILWAY COMPANY,1115.09815473056
101,46013,BNSF,ABERDEEN,BNSF RAILWAY COMPANY,27325.4395143045
102,20041,BNSF,ABILENE (BNSF),BNSF RAILWAY COMPANY,3244.59275410487
103,53033,BNSF,ALASKA RAIL FERRY,BNSF RAILWAY COMPANY,5519.41855531128
104,35001,BNSF,ALBUQUERQUE-ABAJO,BNSF RAILWAY COMPANY,19744.0801148811
105,06037,BNSF,ALCOA YARD,BNSF RAILWAY COMPANY,7460.08356791894
106,31013,BNSF,ALLIANCE,BNSF RAILWAY COMPANY,57878.0668141536
107,48121,BNSF,ALLIANCE,BNSF RAILWAY COMPANY,17923.2588382347
108,48439,BNSF,ALLIANCE,BNSF RAILWAY COMPANY,4321.55756828242
109,48375,BNSF,AMARILLO,BNSF RAILWAY COMPANY,33506.2396353133
110,48381,BNSF,AMARILLO AUTO RAMP,BNSF RAILWAY COMPANY,16484.246379717
111,28095,BNSF,AMORY,BNSF RAILWAY COMPANY,21411.0913988318
112,53007,BNSF,APPLE,BNSF RAILWAY COMPANY,12917.1371679643
113,53007,BNSF,APPLE YARD,BNSF RAILWAY COMPANY,5799.38664013841
114,40019,BNSF,ARDMORE,BNSF RAILWAY COMPANY,4941.9577147624
115,20209,BNSF,ARGENTINE,BNSF RAILWAY COMPANY,89739.7511628884
116,20209,BNSF,ARGENTINE YARD,BNSF RAILWAY COMPANY,11518.7800638054
117,53033,BNSF,ARGO,BNSF RAILWAY COMPANY,4987.23406721185
118,53033,BNSF,ARGO YARD,BNSF RAILWAY COMPANY,941.587420385225
119,20035,BNSF,ARKANSAS CITY,BNSF RAILWAY COMPANY,17597.9940069967
120,53061,BNSF,ARLINGTON,BNSF RAILWAY COMPANY,1171.79041638043
121,53061,BNSF,ARLINGTON YARD,BNSF RAILWAY COMPANY,430.937523477933
122,05093,BNSF,ARMOREL #1,BNSF RAILWAY COMPANY,3617.18192590686
123,05093,BNSF,ARMOREL #2,BNSF RAILWAY COMPANY,2153.78259670462
124,53033,BNSF,AUBURN,BNSF RAILWAY COMPANY,31032.48054662
125,53033,BNSF,AUBURN YARD,BNSF RAILWAY COMPANY,5141.38968759141
126,29047,BNSF,AVONDALE,BNSF RAILWAY COMPANY,42335.4425596335
127,22051,BNSF,AVONDALE (BNSF),BNSF RAILWAY COMPANY,23474.2344859972
128,22051,BNSF,AVONDALE INTRMDL,BNSF RAILWAY COMPANY,1839.51644478102
129,29510,BNSF,BADEN,BNSF RAILWAY COMPANY,5166.78652704129
130,06029,BNSF,BAKERSFIELD YARD,BNSF RAILWAY COMPANY,40241.4530596277
131,53033,BNSF,BALMER,BNSF RAILWAY COMPANY,57900.1274478084
132,53033,BNSF,BALMER YARD,BNSF RAILWAY COMPANY,4802.85883906705
133,06071,BNSF,BARSTOW YARD,BNSF RAILWAY COMPANY,81270.5257810338
134,53053,BNSF,BAY,BNSF RAILWAY COMPANY,28424.5025483804
135,53061,BNSF,BAYSIDE,BNSF RAILWAY COMPANY,15880.0581948314
136,53061,BNSF,BAYSIDE YARD,BNSF RAILWAY COMPANY,5228.88084457261
137,17017,BNSF,BEARDSTOWN,BNSF RAILWAY COMPANY,11056.6380331642
138,48245,BNSF,BEAUMONT,BNSF RAILWAY COMPANY,5165.56484248164
139,35061,BNSF,BELEN,BNSF RAILWAY COMPANY,46685.2627399121
140,53073,BNSF,BELLINGHAM,BNSF RAILWAY COMPANY,4675.80989730069
141,53073,BNSF,BELLINGHAM YARD,BNSF RAILWAY COMPANY,2730.55221613661
142,08035,BNSF,BIG LIFT AUTORAMP,BNSF RAILWAY COMPANY,4476.88689632672
143,30111,BNSF,BILLINGS,BNSF RAILWAY COMPANY,12926.1030579867
144,40025,BNSF,BOISE CITY,BNSF RAILWAY COMPANY,1051.11726088092
145,27035,BNSF,BRAINERD,BNSF RAILWAY COMPANY,2286.37399719901
146,27167,BNSF,BRECKENRIDGE,BNSF RAILWAY COMPANY,12280.9074746723
147,30111,BNSF,BRICK,BNSF RAILWAY COMPANY,5654.70954960429
148,48049,BNSF,BROWNWOOD,BNSF RAILWAY COMPANY,27412.8346907747
149,19111,BNSF,BUENA VISTA,BNSF RAILWAY COMPANY,5116.08963445991
150,19057,BNSF,BURLINGTON,BNSF RAILWAY COMPANY,5165.90991291596
151,53057,BNSF,BURLINGTON,BNSF RAILWAY COMPANY,7093.95936443572
152,53063,BNSF,BURLINGTON,BNSF RAILWAY COMPANY,558.860877122057
153,53057,BNSF,BURLINGTON YARD,BNSF RAILWAY COMPANY,1204.03199534965
154,30093,BNSF,BUTTE,BNSF RAILWAY COMPANY,5096.93761169777
155,06019,BNSF,CALWA YARD,BNSF RAILWAY COMPANY,36290.5633519419
156,29031,BNSF,CAPE GIRARDEAU,BNSF RAILWAY COMPANY,9518.51820603878
157,29186,BNSF,CAPE GIRARDEAU,BNSF RAILWAY COMPANY,16277.7913953253
158,31109,BNSF,CARLING,BNSF RAILWAY COMPANY,57091.6977428691
159,56025,BNSF,CASPER NATRONA OIL TERMINAL,BNSF RAILWAY COMPANY,8706.46549541025
160,53041,BNSF,CENTRALIA,BNSF RAILWAY COMPANY,11131.2135752268
161,17027,BNSF,CENTRALIA (BNSF),BNSF RAILWAY COMPANY,2925.09377502657
162,17121,BNSF,CENTRALIA (BNSF),BNSF RAILWAY COMPANY,13573.1540120063
163,40143,BNSF,CHEROKEE,BNSF RAILWAY COMPANY,22995.6985777566
164,53033,BNSF,CHEVRON TERMINAL,BNSF RAILWAY COMPANY,20950.3210135947
165,56021,BNSF,CHEYENNE (BNSF),BNSF RAILWAY COMPANY,13153.3675378247
166,48075,BNSF,CHILDRESS,BNSF RAILWAY COMPANY,5708.32454776159
167,29510,BNSF,CHOUTEAU,BNSF RAILWAY COMPANY,6025.48385534579
168,17031,BNSF,CICERO,BNSF RAILWAY COMPANY,41142.6858516858
169,48251,BNSF,CLEBURNE,BNSF RAILWAY COMPANY,18645.8609784331
170,27017,BNSF,CLOQUET,BNSF RAILWAY COMPANY,6325.51958209988
171,35009,BNSF,CLOVIS,BNSF RAILWAY COMPANY,97678.4405600738
172,53033,BNSF,COACH,BNSF RAILWAY COMPANY,26195.9109165691
173,53033,BNSF,COACH YARD,BNSF RAILWAY COMPANY,3513.37731893585
174,30087,BNSF,COLSTRIP PPL MONTANA YARD,BNSF RAILWAY COMPANY,5107.104289407
175,20021,BNSF,COLUMBUS,BNSF RAILWAY COMPANY,6882.43200501416
176,06037,BNSF,COMMERCE YARD,BNSF RAILWAY COMPANY,21420.7357915575
177,53021,BNSF,CONNELL,BNSF RAILWAY COMPANY,3108.1460609002
178,06065,BNSF,CORONA YARD,BNSF RAILWAY COMPANY,3653.44461370959
179,17031,BNSF,CORWITH,BNSF RAILWAY COMPANY,25558.961681255
180,19175,BNSF,CRESTON,BNSF RAILWAY COMPANY,11490.1230946202
181,27123,BNSF,DAYTON'S BLUFF YARD,BNSF RAILWAY COMPANY,6190.55058193653
182,53061,BNSF,DELTA,BNSF RAILWAY COMPANY,23186.5376834854
183,53061,BNSF,DELTA YARD,BNSF RAILWAY COMPANY,3112.87017248232
184,38071,BNSF,DEVILS LAKE,BNSF RAILWAY COMPANY,11961.4898030037
185,38089,BNSF,DICKINSON,BNSF RAILWAY COMPANY,13626.1273484113
186,27027,BNSF,DILWORTH,BNSF RAILWAY COMPANY,39237.4780879874
187,20057,BNSF,DODGE CITY,BNSF RAILWAY COMPANY,11065.9350264118
188,48439,BNSF,DOWNTOWN,BNSF RAILWAY COMPANY,7314.77404796465
189,06013,BNSF,DU POINT YARD,BNSF RAILWAY COMPANY,8391.86137349357
190,31013,BNSF,EAST ALLIANCE,BNSF RAILWAY COMPANY,38544.8791965997
191,40047,BNSF,EAST ENID,BNSF RAILWAY COMPANY,6981.74584211455
192,41051,BNSF,EAST ST JOHNS YARD,BNSF RAILWAY COMPANY,7874.27349395173
193,01073,BNSF,EAST THOMAS,BNSF RAILWAY COMPANY,13621.0199937686
194,46047,BNSF,EDGEMONT,BNSF RAILWAY COMPANY,9811.51633639042
195,48141,BNSF,EL PASO,BNSF RAILWAY COMPANY,33093.7311236589
196,48355,BNSF,EL PASO,BNSF RAILWAY COMPANY,821.654142053455
197,06037,BNSF,EL SEGUNDO YARD,BNSF RAILWAY COMPANY,4836.54428445004
198,19155,BNSF,ELEVATOR,BNSF RAILWAY COMPANY,2419.34493532528
199,53073,BNSF,ELLIOT,BNSF RAILWAY COMPANY,6059.24446309239
200,53033,BNSF,ELLIOT BAY PARK,BNSF RAILWAY COMPANY,21067.9571119205
201,53073,BNSF,ELLIOT YARD,BNSF RAILWAY COMPANY,1165.90116686519
202,53033,BNSF,ELLIOTT BAY PARK YARD,BNSF RAILWAY COMPANY,3325.26708638972
203,06099,BNSF,EMPIRE YARD,BNSF RAILWAY COMPANY,2700.54041638985
204,20111,BNSF,EMPORIA,BNSF RAILWAY COMPANY,12807.9528474093
205,17043,BNSF,EOLA,BNSF RAILWAY COMPANY,15741.8297146973
206,17089,BNSF,EOLA,BNSF RAILWAY COMPANY,7541.54833459991
207,53063,BNSF,ERIE STREET,BNSF RAILWAY COMPANY,13509.6494641166
208,53063,BNSF,ERIE STREET YARD,BNSF RAILWAY COMPANY,2657.33603132133
209,30029,BNSF,ESSEX,BNSF RAILWAY COMPANY,3804.07244632051
210,31147,BNSF,FALLS CITY,BNSF RAILWAY COMPANY,4619.96865127956
211,53005,BNSF,FINLEY,BNSF RAILWAY COMPANY,5781.483595819
212,53005,BNSF,FINLEY YARD,BNSF RAILWAY COMPANY,2767.65849076958
213,40027,BNSF,FLYNN,BNSF RAILWAY COMPANY,3782.33161532347
214,40109,BNSF,FLYNN,BNSF RAILWAY COMPANY,4090.61124897391
215,29047,BNSF,FORD CLAYCOMO PLANT,BNSF RAILWAY COMPANY,8955.69131625654
216,30087,BNSF,FORSYTH,BNSF RAILWAY COMPANY,7211.47522343273
217,19111,BNSF,FORT MADISON,BNSF RAILWAY COMPANY,6107.78389301402
218,31053,BNSF,FREMONT BNSF,BNSF RAILWAY COMPANY,2988.65006322777
219,20011,BNSF,FT SCOTT,BNSF RAILWAY COMPANY,3092.68773694137
220,48099,BNSF,FT. HOOD,BNSF RAILWAY COMPANY,17767.0181778325
221,06059,BNSF,FULLERTON YARD,BNSF RAILWAY COMPANY,10246.4371929037
222,48097,BNSF,GAINESVILLE,BNSF RAILWAY COMPANY,12640.2143876448
223,17095,BNSF,GALESBURG,BNSF RAILWAY COMPANY,40566.912608489
224,35031,BNSF,GALLUP,BNSF RAILWAY COMPANY,38321.8273701123
225,48167,BNSF,GALVESTON (BNSF),BNSF RAILWAY COMPANY,8358.48175836411
226,46099,BNSF,GARRETSON,BNSF RAILWAY COMPANY,7831.54149863305
227,38101,BNSF,GAVIN,BNSF RAILWAY COMPANY,43291.0651016654
228,31055,BNSF,GIBSON YARD,BNSF RAILWAY COMPANY,24866.9868343481
229,56005,BNSF,GILLETTE,BNSF RAILWAY COMPANY,8768.74797498711
230,20209,BNSF,GLEN PARK,BNSF RAILWAY COMPANY,7372.40808654965
231,29095,BNSF,GLEN PARK,BNSF RAILWAY COMPANY,986.01241016196
232,30021,BNSF,GLENDIVE,BNSF RAILWAY COMPANY,15379.7059162296
233,53061,BNSF,GOLD BAR,BNSF RAILWAY COMPANY,6498.84732336399
234,38035,BNSF,GRAND FORKS,BNSF RAILWAY COMPANY,14477.9237108527
235,30013,BNSF,GREAT FALLS,BNSF RAILWAY COMPANY,18526.7261567776
236,38057,BNSF,GREAT PLAINS SYNFUELS,BNSF RAILWAY COMPANY,7317.73696798528
237,56003,BNSF,GREYBULL,BNSF RAILWAY COMPANY,15520.9793479957
238,56031,BNSF,GUERNSEY,BNSF RAILWAY COMPANY,43621.420618486
239,05035,BNSF,HARVARD,BNSF RAILWAY COMPANY,12894.3575603806
240,31001,BNSF,HASTINGS,BNSF RAILWAY COMPANY,14115.0987950265
241,16055,BNSF,HAUSER,BNSF RAILWAY COMPANY,74350.0641437777
242,30041,BNSF,HAVRE,BNSF RAILWAY COMPANY,23576.8778875852
243,30049,BNSF,HELENA,BNSF RAILWAY COMPANY,14910.1927680625
244,06037,BNSF,HOBART YARD,BNSF RAILWAY COMPANY,50702.5595626456
245,31137,BNSF,HOLDEGE,BNSF RAILWAY COMPANY,5060.71000035215
246,06073,BNSF,HONDA TERMINAL YARD,BNSF RAILWAY COMPANY,5902.5830462268
247,20155,BNSF,HUTCHINSON,BNSF RAILWAY COMPANY,21856.1113732371
248,19153,BNSF,IOWA TRANSFER YARD,BNSF RAILWAY COMPANY,5411.6997087708
249,48113,BNSF,IRVING,BNSF RAILWAY COMPANY,3619.33866643083
250,38093,BNSF,JAMESTOWN,BNSF RAILWAY COMPANY,14430.0889880943
251,17197,BNSF,JOLIET,BNSF RAILWAY COMPANY,10155.6608393873
252,41051,BNSF,KELLEY POINT AUTO YARD,BNSF RAILWAY COMPANY,4472.29162778432
253,41051,BNSF,KELLEY POINT YARD,BNSF RAILWAY COMPANY,13072.1154676037
254,19111,BNSF,KEOKUK,BNSF RAILWAY COMPANY,11213.1363760702
255,48241,BNSF,KIRBYVILLE,BNSF RAILWAY COMPANY,2302.57563552328
256,48027,BNSF,KNOWD,BNSF RAILWAY COMPANY,15216.2889448266
257,55063,BNSF,LA CROSSE YARD,BNSF RAILWAY COMPANY,3933.07214138324
258,35015,BNSF,LA HUERTA,BNSF RAILWAY COMPANY,14435.1571960898
259,08089,BNSF,LA JUNTA,BNSF RAILWAY COMPANY,26434.3138788327
260,06037,BNSF,LA MIRADA YARD,BNSF RAILWAY COMPANY,13171.851108448
261,06059,BNSF,LA MIRADA YARD,BNSF RAILWAY COMPANY,314.180150724944
262,22055,BNSF,LAFAYETTE,BNSF RAILWAY COMPANY,21017.5117942743
263,41051,BNSF,LAKE YARD,BNSF RAILWAY COMPANY,60673.5678826849
264,30111,BNSF,LAUREL,BNSF RAILWAY COMPANY,37333.9508224857
265,20045,BNSF,LAWRENCE,BNSF RAILWAY COMPANY,9515.52157373683
266,48203,BNSF,LETOURNEAU EAST,BNSF RAILWAY COMPANY,2949.77664241541
267,48203,BNSF,LETOURNEAU NORTH,BNSF RAILWAY COMPANY,3618.40782883988
268,48203,BNSF,LETOURNEAU SOUTH,BNSF RAILWAY COMPANY,1071.78400932279
269,48203,BNSF,LETOURNEAU SOUTHEAST,BNSF RAILWAY COMPANY,2237.8485601156
270,31109,BNSF,LINCOLN (UP),BNSF RAILWAY COMPANY,2936.54104087654
271,29510,BNSF,LINDENWOOD,BNSF RAILWAY COMPANY,14737.9171289625
272,30067,BNSF,LIVINGSTON,BNSF RAILWAY COMPANY,10713.0545666651
273,17197,BNSF,LOGISTICS PARK CHICAGO,BNSF RAILWAY COMPANY,36324.5239108912
274,20091,BNSF,LOGISTICS PARK KS CITY,BNSF RAILWAY COMPANY,17113.1803602549
275,53015,BNSF,LONG VIEW JCT YARD,BNSF RAILWAY COMPANY,4249.08360078151
276,08013,BNSF,LONGMONT,BNSF RAILWAY COMPANY,2631.04863484698
277,48183,BNSF,LONGVIEW (BNSF),BNSF RAILWAY COMPANY,4466.57063863189
278,53015,BNSF,LONGVIEW (BNSF),BNSF RAILWAY COMPANY,27425.1044145999
279,53015,BNSF,LONGVIEW JCT,BNSF RAILWAY COMPANY,23446.7470447936
280,48303,BNSF,LOWER LUBBOCK,BNSF RAILWAY COMPANY,15611.058759294
281,48303,BNSF,LUBBOCK,BNSF RAILWAY COMPANY,3345.69623464915
282,48303,BNSF,LUBBOCK (BNSF),BNSF RAILWAY COMPANY,12208.2824278533
283,48303,BNSF,LUBBOCK CONTAINER,BNSF RAILWAY COMPANY,7048.59001110056
284,30083,BNSF,LUDINGTON,BNSF RAILWAY COMPANY,5667.21093749923
285,29510,BNSF,LUTHER,BNSF RAILWAY COMPANY,593.080012287741
286,40095,BNSF,MADILL,BNSF RAILWAY COMPANY,4570.64836566904
287,06037,BNSF,MALABAR YARD,BNSF RAILWAY COMPANY,3488.35513786395
288,38059,BNSF,MANDAN,BNSF RAILWAY COMPANY,21625.8469672728
289,29041,BNSF,MARCELINE,BNSF RAILWAY COMPANY,2285.24826997997
290,29115,BNSF,MARCELINE,BNSF RAILWAY COMPANY,10641.3509127422
291,53063,BNSF,MARSHALL (BNSF),BNSF RAILWAY COMPANY,676.88253112898
292,31145,BNSF,MCCOOK,BNSF RAILWAY COMPANY,8201.13772263223
293,47157,BNSF,MEMPHIS INTERMODAL,BNSF RAILWAY COMPANY,13368.2861876386
294,19149,BNSF,MERRILL,BNSF RAILWAY COMPANY,7325.19941115943
295,27123,BNSF,MIDWAY YARD,BNSF RAILWAY COMPANY,13346.6373044178
296,46099,BNSF,MIDWEST RAILCAR,BNSF RAILWAY COMPANY,16512.2054583997
297,30017,BNSF,MILES CITY,BNSF RAILWAY COMPANY,16174.938908781
298,38101,BNSF,MINOT,BNSF RAILWAY COMPANY,7330.23644703549
299,30063,BNSF,MISSOULA,BNSF RAILWAY COMPANY,26483.4211281315
300,46035,BNSF,MITCHELL,BNSF RAILWAY COMPANY,8298.03900691039
301,04013,BNSF,MOBEST YARD,BNSF RAILWAY COMPANY,4657.94210442538
302,29009,BNSF,MONETT,BNSF RAILWAY COMPANY,11821.4677952431
303,06077,BNSF,MORMON YARD,BNSF RAILWAY COMPANY,19452.2866957317
304,29047,BNSF,MURRAY,BNSF RAILWAY COMPANY,32349.1516494152
305,06071,BNSF,NEEDLES YARD,BNSF RAILWAY COMPANY,2014.23444904624
306,17031,BNSF,NERSKA JCT,BNSF RAILWAY COMPANY,7433.61347926414
307,48201,BNSF,NEW SOUTH,BNSF RAILWAY COMPANY,344.587545673184
308,20079,BNSF,NEWTON,BNSF RAILWAY COMPANY,29321.7953417232
